Source,Item,Quantity,Mesetas Value,Rarity,Notes
Sand Worm,Worm hide,1,150,common,Tans into desert armour.
Sand Worm,Acid sac,0-1,400,uncommon,Risk of burst on extraction.
Frost Wyvern,Wing scale,2-4,80,common,Used in Skure shields.
Frost Wyvern,Frostfang,1,1200,rare,Bites without melting.
Wing Eye,Eyestalk,1,200,common,Alchemical reagent.
Wing Eye,Pinion feather,3-6,15,common,Light, glowing softly.
Owl Bear,Pelt,1,500,uncommon,Resistant to small arms.
Owl Bear,Claw,2,40,common,Camineet trophy market.
Robotcop,Power cell,1,250,uncommon,Charges 3 shots of tek.
Robotcop,Plating,1,1000,rare,Hapsby buys at 60% list.
Medusa,Petrified scale,1,5000,artifact,Cannot be re-petrified.
Medusa,Mirror Shield,1,—,artifact,Quest reward; non-saleable.
Camineet bazaar,Healing salve,1,80,common,Restores 1d6+1 HP.
Camineet bazaar,Crystal vial,1,30,common,Holds two doses of liquid.
Paseo workshop,Tek bullet,1,15,common,Ammo for the Hapsby blaster.
Paseo workshop,Sand goggles,1,120,common,Grants +2 vs sand glare.
Skure trader,Frost cloak,1,650,uncommon,Cold protection up to -30°C.
Skure trader,Ice rune scroll,1,900,rare,Single-use ice spell.
Esper Mansion,Esper journal,1,—,artifact,Unlocks the Outer Code lore.
Air Castle,Lassic crown shard,1,—,endgame,Worn by the king himself.
